"Id","School"
"2","Auburn"
"3","Birmingham-Southern"
"5","UAB"
"6","South Alabama"
"7","Amherst"
"8","Arkansas"
"9","Arizona State"
"11","Colorado Mesa"
"12","Arizona"
"13","Cal Poly"
"15","Anna Maria College"
"16","Sacramento State"
"17","Claremont-Mudd-Scripps College"
"18","Bridgewater State"
"21","San Diego State"
"23","San José State"
"24","Stanford"
"25","California"
"26","UCLA"
"29","Redlands"
"30","USC"
"32","Carroll University (WI)"
"33","Colby College"
"36","Colorado State"
"38","Colorado"
"40","Curry College"
"41","UConn"
"43","Yale"
"46","Georgetown"
"47","Howard"
"48","Delaware"
"49","Dubuque"
"50","Florida A&M"
"52","Florida State"
"53","Florida Tech"
"55","Jacksonville State"
"56","Stetson"
"57","Florida"
"58","South Florida"
"59","Georgia Tech"
"60","Morehouse College"
"61","Georgia"
"62","Hawai'i"
"63","Buena Vista"
"65","Grinnell"
"66","Iowa State"
"67","Luther"
"68","Boise State"
"70","Idaho"
"72","Elmhurst"
"74","Millikin"
"75","North Park"
"77","Northwestern"
"79","Southern Illinois"
"80","Chicago"
"81","Springfield"
"83","Depauw"
"84","Indiana"
"86","Rose-Hulman"
"87","Notre Dame"
"89","Wabash College"
"90","Pittsburg St"
"93","Murray State"
"95","Pikeville"
"96","Kentucky"
"97","Louisville"
"98","Western Kentucky"
"99","LSU"
"101","Eureka College"
"103","Boston College"
"107","Holy Cross"
"108","Harvard"
"109","MIT"
"110","Mass Maritime"
"111","Northeastern"
"112","Tufts"
"113","Massachusetts"
"114","Fitchburg State"
"118","Johns Hopkins University"
"119","Towson"
"120","Maryland"
"121","Bates"
"124","Augsburg"
"125","Grand Valley State University"
"126","Kalamazoo"
"127","Michigan State"
"128","Northern Michigan"
"129","Saginaw Valley State"
"130","Michigan"
"131","Wayne State (MI)"
"132","Bemidji State"
"133","St. Olaf"
"134","Minnesota Duluth"
"135","Minnesota"
"137","Missouri Western"
"138","Northwest Missouri St"
"142","Missouri"
"143","Washington University (St. Louis)"
"145","Ole Miss"
"146","Grove City College"
"147","Montana State"
"148","Montana Tech"
"149","Montana"
"150","Duke"
"151","East Carolina"
"152","NC State"
"153","North Carolina"
"154","Wake Forest"
"155","North Dakota"
"158","Nebraska"
"159","Dartmouth"
"160","New Hampshire"
"162","Hamline University"
"163","Princeton"
"164","Rutgers"
"166","New Mexico State"
"167","New Mexico"
"171","Columbia"
"172","Cornell"
"173","Hartwick"
"174","Hobart College"
"175","Ithaca College"
"183","Syracuse"
"184","University of Rochester (NY)"
"188","Baldwin Wallace"
"189","Bowling Green"
"190","Defiance College"
"191","Heidelberg"
"193","Miami (OH)"
"194","Ohio State"
"195","Ohio"
"196","Northeastern State"
"197","Oklahoma State"
"199","Southeastern Oklahoma State"
"200","Southern Nazarene"
"201","Oklahoma"
"202","Tulsa"
"203","Linfield College"
"204","Oregon State"
"205","Pacific (OR)"
"209","Lock Haven University"
"210","Millersville"
"213","Penn State"
"215","Slippery Rock"
"216","Susquehanna"
"218","Temple"
"219","Pennsylvania"
"221","Pittsburgh"
"222","Villanova"
"223","West Chester"
"225","Brown"
"227","Rhode Island"
"228","Clemson"
"231","Furman"
"233","South Dakota"
"235","Memphis"
"236","Chattanooga"
"237","Union (NY)"
"238","Vanderbilt"
"239","Baylor"
"241","McMurry"
"242","Rice"
"245","Texas A&M"
"246","Juniata College"
"247","Kings College (PA)"
"248","Houston"
"249","North Texas"
"251","Texas"
"252","BYU"
"253","Southern Utah"
"254","Utah"
"255","Knox College"
"256","James Madison"
"257","Richmond"
"258","Virginia"
"259","Virginia Tech"
"262","Lake Forest College"
"263","Loras College"
"264","Washington"
"265","Washington State"
"266","Beloit"
"267","LAKELAND"
"268","Lawrence University"
"271","Wisconsin-Oshkosh"
"272","Wisconsin-Platteville"
"273","MacMurray College"
"274","Maine Maritime"
"275","Wisconsin"
"276","Marshall"
"277","West Virginia"
"278","Fresno State"
"282","Indiana State"
"284","Stonehill"
"286","North Carolina Wesleyan"
"290","Georgia Southern"
"291","Methodist"
"293","Castleton"
"294","Jacksonville"
"295","Old Dominion"
"297","Hampden-Sydney"
"301","San Diego"
"302","UC Davis"
"304","Idaho State"
"306","Illinois Wesleyan"
"308","Ashland"
"309","Louisiana"
"311","Maine"
"314","Iona"
"316","Dickinson State University"
"317","Marietta"
"319","Oklahoma Baptist"
"322","Lafayette"
"323","Moravian"
"324","Coastal Carolina"
"326","Texas State"
"328","Utah State"
"330","Virginia St"
"331","Eastern Washington"
"332","Muskingum University"
"333","Alabama"
"336","Wesleyan University (CT)"
"338","Kennesaw State"
"340","Bowdoin"
"341","Frostburg State"
"344","Mississippi State"
"348","Hamilton"
"349","Army"
"351","Wingate"
"352","Kenyon"
"354","Olivet College"
"356","Illinois"
"359","Otterbein"
"363","Principia College"
"365","Alfred University"
"366","Ferrum"
"367","Gannon"
"374","St John Fisher University"
"375","St. Scholastica"
"379","UMass Dartmouth"
"386","Trinity University TX"
"388","Lebanon Valley"
"389","Upper Iowa University"
"390","Utica"
"391","Oberlin"
"395","St. Augustine's"
"396","Wheaton"
"398","Wilkes"
"399","UAlbany"
"402","Worcester St"
"409","Concordia-Wisconsin"
"411","Chapman"
"415","NEWBERG"
"417","Gallaudet"
"418","Hendrix College"
"421","Maranatha Baptist College"
"424","Capital"
"425","Northern State"
"426","University of Mount Union"
"427","Ohio Northern"
"433","Westminster College (MO)"
"437","Lake Erie"
"446","Martin Luther"
"452","Endicott College"
"455","West Virginia Wesleyan"
"471","Stevenson"
"479","Becker College"
"481","Mount Ida College"
"487","Bacone College"
"488","Baker University"
"490","Benedict College"
"492","Bethany (KS)"
"495","BLUEFIELD"
"507","Concordia University Nebraska"
"509","Crown College"
"510","Culver-Stockton College"
"511","Cumberland (KY)"
"512","Dakota State University"
"513","Dakota Wesleyan"
"527","Friends University"
"530","Graceland University"
"535","Haskell Indian Nations Univ"
"547","Kansas Wesleyan"
"548","Lagrange College"
"556","Malone"
"559","University of Mary"
"561","Mayville State"
"565","Midland Lutheran College"
"568","Minot State"
"583","Northwestern (MN)"
"587","Notre Dame College"
"597","Presentation"
"599","Robert Morris University-Illinois"
"611","Seton Hill"
"613","South Dakota Mines"
"616","Southwestern College"
"618","Sterling College"
"620","Taylor"
"625","Tiffin University"
"628","Valley City State"
"630","Wayland Baptist"
"2000","Abilene Christian"
"2001","Adams State"
"2003","Adrian"
"2005","Air Force"
"2006","Akron"
"2010","Alabama A&M"
"2011","Alabama State"
"2013","Albany State GA"
"2015","Albright"
"2016","Alcorn State"
"2017","Alderson-Broaddus"
"2018","Allegheny"
"2019","Allen"
"2022","American International"
"2023","Anderson (IN)"
"2025","Angelo State"
"2026","App State"
"2028","Arkansas-Monticello"
"2029","Arkansas-Pine Bluff"
"2032","Arkansas State"
"2033","Arkansas Tech"
"2038","Assumption"
"2042","Augustana (IL)"
"2043","Augustana University (SD)"
"2044","Aurora"
"2045","Austin"
"2046","Austin Peay"
"2047","Averett"
"2048","Avila University"
"2049","Azusa Pacific"
"2050","Ball State"
"2056","Belhaven"
"2059","Benedict"
"2060","Bentley"
"2062","Bethany (WV)"
"2064","Bethel University Tennessee"
"2065","Bethune-Cookman"
"2069","Black Hills State"
"2070","Blackburn"
"2071","Bloomsburg"
"2074","Bluffton"
"2075","Bowie State"
"2079","Bridgewater (VA)"
"2080","British Columbia"
"2083","Bucknell"
"2084","Buffalo"
"2085","Buffalo State"
"2086","Butler"
"2089","LIU Post"
"2094","California Lutheran University"
"2097","Campbell"
"2098","Campbellsville University"
"2101","Carleton"
"2102","Carnegie Mellon"
"2105","Carson-Newman College"
"2106","Carthage"
"2107","Catawba"
"2108","Catholic"
"2110","Central Arkansas"
"2115","Central Connecticut"
"2116","UCF"
"2117","Central Michigan"
"2118","Central Missouri"
"2119","Central State (OH)"
"2120","Central Washington"
"2121","Centre College Kentucky"
"2122","Central Oklahoma"
"2123","Chadron St"
"2127","Charleston Southern"
"2128","University Of Charleston (WV)"
"2129","Cheyney"
"2132","Cincinnati"
"2134","Clarion"
"2141","Coe College"
"2142","Colgate"
"2144","Colorado College"
"2146","Colorado School Of Mines"
"2148","Concord University"
"2151","Concordia University Chicago"
"2152","Concordia Moorhead"
"2155","Cornell College (IA)"
"2161","Cumberland (TN)"
"2166","Davidson"
"2168","Dayton"
"2169","Delaware State"
"2170","Delta State"
"2171","Denison University"
"2175","Dickinson (PA)"
"2181","Drake"
"2184","Duquesne"
"2188","East Stroudsburg University"
"2189","Earlham"
"2191","East Central (OK)"
"2193","East Tennessee State"
"2194","East Texas Baptist University"
"2197","Eastern Illinois"
"2198","Eastern Kentucky"
"2199","Eastern Michigan"
"2201","Eastern New Mexico"
"2202","Eastern Oregon"
"2205","Edinboro University"
"2206","Edward Waters"
"2207","Elizabeth City State"
"2210","Elon"
"2213","Emory & Henry College"
"2214","Emporia State University"
"2219","Faulkner University"
"2220","Fayetteville State"
"2221","FDU-Florham"
"2222","Ferris State"
"2224","Findlay"
"2226","Florida Atlantic"
"2229","Florida International"
"2230","Fordham"
"2231","Fort Hays State"
"2232","Fort Valley State"
"2233","Franklin"
"2234","Franklin & Marshall"
"2237","Fort Lewis"
"2241","Gardner-Webb"
"2242","Geneva"
"2244","George Mason University"
"2245","Georgetown College Kentucky"
"2247","Georgia State"
"2248","Gettysburg"
"2249","Glenville State"
"2254","Des Moines"
"2256","Greensboro College"
"2257","Greenville"
"2258","Guilford College"
"2261","Hampton"
"2262","Hanover College"
"2264","Harding University"
"2271","Henderson State"
"2273","Hillsdale"
"2274","Hiram College"
"2275","Hofstra"
"2277","Houston Christian"
"2278","Humboldt State"
"2280","Husson"
"2283","Benedictine University"
"2286","Illinois College"
"2287","Illinois State"
"2291","Indiana-Pennsylvania"
"2292","Indianapolis"
"2294","Iowa"
"2295","Iowa Wesleyan"
"2296","Jackson State"
"2302","John Carroll University"
"2304","Johnson C Smith"
"2305","Kansas"
"2306","Kansas State"
"2309","Kent State"
"2310","Kentucky State"
"2315","Kutztown University"
"2316","Kentucky Wesleyan"
"2318","La Verne"
"2320","Lamar"
"2321","Lambuth"
"2323","Lane College"
"2324","Langston University"
"2325","La Salle"
"2329","Lehigh"
"2331","Lenoir-Rhyne"
"2333","Lewis & Clark College"
"2335","Liberty"
"2336","Limestone"
"2339","Lincoln (PA)"
"2341","Long Island University"
"2347","Louisiana College"
"2348","Louisiana Tech"
"2349","UMass Lowell"
"2354","Lycoming"
"2355","Virginia University Of Lynchburg"
"2359","Macalester"
"2362","Manchester"
"2364","Minnesota State Mankato"
"2365","Mansfield University"
"2366","Marian College"
"2368","Marist"
"2369","Mars Hill"
"2371","Mary Hardin-Baylor"
"2373","Maryville College (TN)"
"2377","McNeese"
"2381","Menlo"
"2382","Mercer"
"2383","Merchant Marine Academy"
"2385","Mercyhurst"
"2390","Miami"
"2392","Michigan Tech"
"2393","Middle Tennessee"
"2394","Middlebury"
"2395","Midwestern State"
"2396","Miles College"
"2398","Millsaps"
"2399","Minnesota Morris"
"2400","Mississippi Valley State"
"2401","Mississippi College"
"2402","Missouri S&T"
"2403","Missouri Southern State"
"2405","Monmouth"
"2413","Morehead State"
"2415","Morgan State"
"2416","Morningside College"
"2419","Mount St. Joseph"
"2422","Muhlenberg"
"2424","New Mexico Highlands"
"2426","Navy"
"2428","North Carolina Central"
"2429","Charlotte"
"2433","UL Monroe"
"2437","Nebraska-Omaha"
"2438","Nebraska-Kearney"
"2439","UNLV"
"2440","Nevada"
"2441","New Haven"
"2442","College Of New Jersey"
"2444","Newberry"
"2447","Nicholls"
"2448","North Carolina A&T"
"2449","North Dakota State"
"2450","Norfolk State"
"2453","North Alabama"
"2458","Northern Colorado"
"2459","Northern Illinois"
"2460","Northern Iowa"
"2464","Northern Arizona"
"2466","Northwestern State"
"2467","Norwich"
"2471","Northwestern (IA)"
"2475","Occidental"
"2477","Ohio Dominican"
"2483","Oregon"
"2486","Pacific Lutheran"
"2487","Pace"
"2488","Paine"
"2502","Portland State"
"2504","Prairie View A&M"
"2506","Presbyterian"
"2508","Puget Sound"
"2509","Purdue"
"2516","Randolph-Macon"
"2519","Rhodes College"
"2523","Robert Morris"
"2524","Rockford"
"2528","Rensselaer"
"2529","Sacred Heart"
"2532","Salisbury"
"2534","Sam Houston"
"2535","Samford"
"2542","Savannah St"
"2545","SE Louisiana"
"2546","Southeast Missouri State"
"2551","Shaw"
"2553","Sewanee"
"2557","Coast Guard"
"2559","Shippensburg"
"2560","Shorter"
"2561","Siena"
"2562","Adrian"
"2564","Simpson College (IA)"
"2567","SMU"
"2568","Southern Arkansas"
"2569","South Carolina State"
"2570","CSU Pueblo"
"2571","South Dakota State"
"2572","Southern Miss"
"2579","South Carolina"
"2582","Southern"
"2583","Southern Connecticut State"
"2584","Southern Oregon"
"2586","Southwest Baptist"
"2587","Southwest Minnesota State"
"2588","Southwestern University"
"2591","St Ambrose University  Iowa"
"2594","St. Cloud State"
"2595","St Francis Illinois"
"2598","St. Francis (PA)"
"2600","Saint John's (MN)"
"2601","St. Joseph's (IN)"
"2608","St. Mary's (CA)"
"2611","St. Paul's College"
"2612","St. Peter's"
"2614","Saint Vincent"
"2615","St. Xavier IL"
"2617","Stephen F. Austin"
"2619","Stony Brook"
"2623","Missouri State"
"2627","Tarleton State"
"2628","TCU"
"2630","UT Martin"
"2633","Tennessee"
"2634","Tennessee State"
"2635","Tennessee Tech"
"2636","UTSA"
"2637","Texas College"
"2638","UTEP"
"2639","Texas Lutheran"
"2640","Texas Southern"
"2641","Texas Tech"
"2643","The Citadel"
"2644","Thiel"
"2646","Thomas More College"
"2649","Toledo"
"2651","Trine University"
"2652","Trinity (IL)"
"2653","Troy"
"2654","Truman State"
"2655","Tulane"
"2657","Tuskegee"
"2658","Texas A&M-Kingsville"
"2666","Urbana"
"2667","Ursinus"
"2673","Valdosta State"
"2674","Valparaiso"
"2676","Virginia Union"
"2678","VMI"
"2681","Wagner"
"2682","Walsh"
"2683","Warner University"
"2685","Wartburg"
"2686","Washington & Jefferson"
"2687","Washburn"
"2688","Washington and Lee"
"2691","Webber International"
"2692","Weber State"
"2695","West Alabama"
"2698","West Georgia"
"2699","West Liberty"
"2700","McDaniel College"
"2701","Montana-Western"
"2702","Western New England"
"2703","Western New Mexico"
"2704","West Texas A&M"
"2706","West Virginia Institute Of Tech"
"2707","West Virginia State"
"2710","Western Illinois"
"2711","Western Michigan"
"2714","Western Colorado"
"2717","Western Carolina"
"2721","Whitworth"
"2723","Wisconsin-River Falls"
"2725","Widener"
"2729","William & Mary"
"2731","Williams"
"2733","Wilmington (OH)"
"2736","Winston-Salem"
"2738","Wisconsin-Eau Claire"
"2740","Wisconsin-Lacrosse"
"2741","Wisconsin-Lutheran"
"2743","Wisconsin-Stevens Pt"
"2744","Wisconsin-Stout"
"2745","Wisconsin-Whitewater"
"2746","Wittenberg"
"2747","Wofford"
"2748","Wooster"
"2749","Worcester Polytechnic Institute"
"2750","Wright State University"
"2751","Wyoming"
"2754","Youngstown State"
"2755","Grambling"
"2757","Berry College"
"2758","Howard Payne"
"2770","MANITOBA"
"2771","Merrimack"
"2772","Minnesota-Crookston"
"2776","Salve Regina"
"2779","St. Lawrence"
"2781","Brockport"
"2782","Cortland"
"2790","Albion"
"2800","Alma"
"2802","Bethel (MN)"
"2803","Bryant"
"2804","Chowan"
"2805","Clark Atlanta"
"2808","Delaware Valley"
"2810","Hardin-Simmons"
"2812","Hope College"
"2815","Lindenwood"
"2816","McKendree"
"2817","Minnesota State Moorhead"
"2818","Montclair State"
"2822","North Greenville"
"2823","Northwestern Oklahoma State"
"2824","Oklahoma Panhandle St"
"2825","Quincy"
"2827","Rowan"
"2828","Shenandoah"
"2829","Simon Fraser"
"2830","St. Anselm"
"2831","University Of St Francis IN"
"2832","St. Norbert"
"2834","Sul Ross State"
"2837","East Texas A&M"
"2838","Tiffin"
"2839","Greeneville"
"2841","Union College"
"2842","UVA Wise"
"2843","Western Connecticut St"
"2844","Wayne State (NE)"
"2845","Waynesburg"
"2846","Wesley College"
"2847","Western Washington"
"2848","Western Oregon"
"2849","Westminster (PA)"
"2850","Whittier"
"2851","Winona State"
"2858","PennWest California"
"2860","Central Methodist"
"2865","Evangel University"
"2871","Kean"
"2876","Lincoln (MO)"
"2877","Lindsey Wilson College"
"2880","St. Louis"
"2882","UNC Pembroke"
"2884","Nichols College"
"2886","Northwood (MI)"
"2888","Ouachita Baptist"
"2890","Reinhardt University"
"2891","Ripon"
"2894","Sioux Falls"
"2896","Southern Virginia"
"2900","St. Thomas (MN)"
"2904","Southwestern Assemblies Of God"
"2907","Trinity International (IL)"
"2909","Westfield State"
"2911","William Jewell"
"2912","William Penn"
"2913","Brevard College"
"2916","Incarnate Word"
"2919","Monmouth (IL)"
"2923","Pomona Pitzer"
"2927","Southwestern Oklahoma State"
"2930","Willamette"
"2938","Huntingdon College (AL)"
"2939","Jamestown College"
"2940","Livingstone"
"2948","Stillman"
"2951","SUNY Maritime"
"2963","Case Western Reserve"
"2964","Central College"
"2967","Framingham State"
"2968","Gustavus Adolphus"
"2969","Misericordia"
"2970","William Paterson"
"2972","Plymouth State"
"2974","Shepherd"
"2977","Trinity (CT)"
"2980","Ohio Wesleyan"
"2985","Concordia-Michigan"
"2986","Fairmont State"
"3066","Concordia University St Paul"
"3071","North Central College"
"3077","Kentucky Christian"
"3080","Waldorf College"
"3099","Concordia (AL)"
"3100","Monterrey Tech"
"3101","Utah Tech"
"3110","SUNY Morrisville"
"3111","Apprentice School"
"3112","Christopher Newport"
"3130","Williamson Trade School"
"3144","SOUTH"
"3145","NORTH"
"3146","East"
"3147","West"
"3161","Ohio State Newark"
"3162","Alfred State"
"3178","Ave Maria University"
"3179","Point University"
"3181","Shepherd Tech"
"3193","American"
"3194","National"
"3197","NORTH FLORIDA"
"3198","SOUTH FLORIDA STARS"
"3209","Lindenwood Belleville"
"3210","Cole College"
"3211","West Memphis"
"3212","University Of Mexico"
"3214","Trinity Bible College"
"3236","Erie"
"3237","Troy"
"3253","Charlotte"
"3254","St. Petersburg"
"5829","Doane College"
"6353","Lakeland"
"6584","Mcpherson College"
"6845","Nebraska Wesleyan"
"16111","Benedictine College"
"101161","LYONCOLL"
"101442","CENTENARY"
"101784","ERSKINE"
"102071","Lawrence Tech"
"102118","Louisburg"
"102626","Texas Wesleyan"
"108354","Holland College"
"108358","Phoenix"
"108382","College of Idaho"
"108398","Ohio Midwestern College"
"109418","Finlandia University"
"109423","Fork Union"
"109425","University of God's Chosen"
"110242","West Florida"
"110243","UT Permian Basin"
"110254","Davenport"
"110255","Cincinnati Christian"
"110263","Morthland"
"110438","Dean College"
"111610","Laurinburg"
"111674","Reading"
"111675","Biddeford"
"111755","Middle Georgia State College"
"111756","Indiana Wesleyan"
"112334","Franklin Pierce"
"112335","Wheeling"
"112390","Ottawa University Arizona"
"121695","Bethany Co"
"121696","MARIAN (IN"
"121754","Bethel Col"
"122666","Wilson"
"122774","Keystone"
"122775","Elgin"
"122776","Thaddeus Stevens"
"123086","North American University"
"124110","UFTL"
"124179","Lincoln (CA)"
"124180","Bluefield State"
"124386","Little Rock"
"124390","MONTANASTN"
"125730","St. Thomas University (Fl)"
"125762","Florida Memorial University"
"125974","Hilbert College"
"126086","Post University"
"126110","Keiser University"
"126146","Madonna University"
"127078","Madonna University (Mich.)"
"127230","Keiser (Fl)"
"127946","Columbus State"
"127954","Eastern University"
"127991","Roosevelt"
"129469","Anderson (Sc)"
"129738","Calvin University"
"129741","William Woods"
"129758","Simpson University (Ca)"
"1000000","Iowa Pre-Flight"
"1000001","Denver"
"1000002","Swarthmore"
"1000003","Santa Clara"
"1000004","San Francisco"
"1000005","North Carolina Pre-Flight"
"1000006","Long Beach State"
"1000007","California-Santa Barbara"
"1000008","Alameda Coast Guard"
"1000009","Amarillo Field"
"1000010","Boston University"
"1000011","Bradley"
"1000012","Cal State Fullerton"
"1000013","Cal State Los Angeles"
"1000014","Camp Grant"
"1000015","Carlisle"
"1000016","Centenary (LA)"
"1000017","Creighton"
"1000018","Del Monte Pre-Flight"
"1000019","Detroit Mercy"
"1000020","Drury"
"1000021","Erskine"
"1000022","Fort Benning"
"1000023","Fort Riley"
"1000024","Fort Warren"
"1000025","George Washington"
"1000026","Georgia Pre-Flight"
"1000027","Gonzaga"
"1000028","Great Lakes Navy"
"1000029","Haskell"
"1000030","Haverford"
"1000031","Jacksonville Naval Air Station"
"1000032","Lombard"
"1000033","Loyola (LA)"
"1000034","Loyola Marymount"
"1000035","Lubbock Field"
"1000036","Manhattan"
"1000037","March Field"
"1000038","Mare Island Marines"
"1000039","Marquette"
"1000040","Nashville"
"1000041","New York University"
"1000042","Norman Naval Air Station"
"1000043","Oglethorpe"
"1000044","Pacific"
"1000045","Phillips"
"1000046","Portland"
"1000047","Quantico Marines"
"1000048","Randolph Field"
"1000049","Regis (CO)"
"1000050","Saint Louis"
"1000051","Saint Mary's (CA)"
"1000053","Second Air Force"
"1000054","Spring Hill"
"1000055","Stevens"
"1000056","Tampa"
"1000057","Tennessee Medical College"
"1000058","Texas-Arlington"
"1000059","Union (NY)"
"1000060","Vermont"
"1000061","Wesleyan (CT)"
"1000062","Whitman"
"1000063","Wichita State"
"1000064","Xavier"
"1000065","Saint Mary's (CA) Pre-Flight"
"1000066","City College of New York"
"1000067","Eton"
"1000068","Canada All-Stars"
"1000069","McGill"
"1000070","Philadelphia All-Stars"
"1000071","Stevens Alumni"
"1000072","Britannia"
"1000073","Pennsylvania Military"
"1000074","Ottawa"
"1000075","Crescent A.C."
"1000076","Montreal"
"1000077","Princeton Alumni"
"1000078","British Club of New York"
"1000079","Detroit A.C."
"1000080","Brooklyn Polytechnic Institute"
"1000081","Seton Hall"
"1000082","Pennsylvania Alumni"
"1000083","Lewisburg A.C."
"1000084","Yale/Princeton/Harvard Grads"
"1000085","Yale Alumni"
"1000086","Columbia Law"
"1000087","Falls of Schuylkill"
"1000088","Tioga"
"1000089","Andover"
"1000090","Exeter"
"1000091","Vineland"
"1000092","Harvard Alumni"
"1000093","Active Football Club"
"1000094","Harvard B"
"1000095","Williston"
"1000096","Olympic A.C."
"1000097","Palmyra"
"1000098","Wyoming Seminary"
"1000099","Ridgefield A.C."
"1000100","Orange A.C."
"1000101","Boston A.C."
"1000102","Manhattan A.C."
"1000103","Swarthmore Alumni"
"1000104","Columbia A.C."
"1000105","Troy Laureates"
"1000106","New York A.C."
"1000107","Schuylkill Navy"
"1000108","Lehigh A.C."
"1000109","Chicago A.C."
"1000110","Connecticut Literary"
"1000111","Fall River"
"1000112","Berkeley A.C."
"1000113","St. John's (Maryland)"
"1000114","Princeton A.C."
"1000115","Montclair A.C."
"1000116","New York Law"
"1000117","Boston Latin High"
"1000118","Syracuse A.C."
"1000119","Boston English High"
"1000120","Lake View High"
"1000121","Temperance A.C."
"1000122","Chicago YMCA"
"1000123","Hyde Park High"
"1000124","Michigan A.C."
"1000125","Minnesota Alumni"
"1000126","University Club of Chicago"
"1000127","Englewood High"
"1000128","Englewood YMCA"
"1000129","Mount Hermon"
"1000130","Doane"
"1000131","Baker"
"1000132","Kansas City A.C."
"1000133","Pittsburgh A.C."
"1000134","Harvard Freshmen"
"1000135","Volunteer A.C."
"1000136","Denver A.C."
"1000137","Greenfield"
"1000138","Lawrenceville"
"1000139","Dean Academy"
"1000140","Bankers A.C."
"1000141","Yale Freshmen"
"1000142","Armour"
"1000143","Pastime A.C."
"1000144","Chicago Dining Club"
"1000145","Manual Training High"
